,title,address,price(w),unit_price,purpose,area(ping),room,age/floor,url
34,羅馬雙園的邂逅,羅馬儷園(59弄)士林區中山北路七段,1600,,公寓,31.81,2房2廳2衛,35.9年,https://www.rakuya.com.tw/sell_item/info?ehid=027af7120214805&from=list_regular
35,忠誠抽車位美寓,綠的世界士林區忠誠路二段,1980,,公寓,35.05,3房2廳2衛,39.6年,https://www.rakuya.com.tw/sell_item/info?ehid=0346a1130291199&from=list_regular
36,劍潭捷運站旁公寓2樓,士林區華齡街,1868,50.27萬/坪,公寓,37.16,3房2廳2衛,36.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0b03c39496120b&from=list_regular
37,劍潭捷運創築美學,士林區承德路四段,1688,,電梯大廈,28.9,1廳1衛,10.8年,https://www.rakuya.com.tw/sell_item/info?ehid=0f3ed9129206977&from=list_regular
38,京璽景觀珠寶盒,士科京璽士林區重慶北路四段,1950,,電梯大廈,31.81,1房2廳1衛,3.5年,https://www.rakuya.com.tw/sell_item/info?ehid=08c2ea121724972&from=list_regular
39,天母運動公園美寓,士林區士東路,1988,58.58萬/坪,公寓,33.94,3房2廳2衛,38.7年,https://www.rakuya.com.tw/sell_item/info?ehid=09755812995216e&from=list_regular
40,時尚光點美屋,天母光點士林區士東路,1780,,電梯大廈,20.45,1房1廳1衛,12年,https://www.rakuya.com.tw/sell_item/info?ehid=02493a120835864&from=list_regular
41,捷運景觀好屋,士林區德行東路,1988,,公寓,41.95,3房2廳1衛,37.2年,https://www.rakuya.com.tw/sell_item/info?ehid=04ed82108450679&from=list_regular
42,天母景觀三房美寓,士林區天母東路,1650,,公寓,41.47,3房2廳2衛,41.9年,https://www.rakuya.com.tw/sell_item/info?ehid=05aaa911857724e&from=list_regular
43,【這間很讚】【在天母渡假】富春居。稀有庭院戶,富春居士林區中山北路七段,1980,,華廈,28.33,1房2廳1.5衛,31.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0164f4134714904&from=list_regular
44,天母圓夢五房鼎家$,士林區中山北路七段,1680,,公寓,30.87,3房2廳2衛,41.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0a3e00117813110&from=list_regular
45,劍潭超高投報頂家,士林區承德路四段,1888,,公寓,23.83,4房4衛,42.6年,https://www.rakuya.com.tw/sell_item/info?ehid=025056130362562&from=list_regular
46,陽明醫院美麗頂加,士林區忠義街,1780,,公寓,33.9,3房2廳2衛,34.5年,https://www.rakuya.com.tw/sell_item/info?ehid=033cbf12827744d&from=list_regular
47,夜市黃金收租屋,士林區大南路,1880,74.6萬/坪,公寓,25.2,3房4衛,45.9年,https://www.rakuya.com.tw/sell_item/info?ehid=0f0dad106620216&from=list_regular
48,劍潭第一世家美玉,士林區承德路四段,1700,,公寓,36.62,1房1廳2衛,41.7年,https://www.rakuya.com.tw/sell_item/info?ehid=0da24313451194e&from=list_regular
49,忠誠邊間美寓,士林區忠誠路二段,1980,,公寓,35.05,3房2廳2衛,39.6年,https://www.rakuya.com.tw/sell_item/info?ehid=05fa6213234983a&from=list_regular
50,天母樹海幸福3房,士林區中山北路六段,1698,,公寓,25.91,3房2廳2衛,41.8年,https://www.rakuya.com.tw/sell_item/info?ehid=08f916129944045&from=list_regular
51,天母國小電梯小豪宅,士林區天母北路,1880,,電梯大廈,19.41,1房1廳1衛,4.4年,https://www.rakuya.com.tw/sell_item/info?ehid=00fcbf106793104&from=list_regular
52,景觀藝術鼎家,士林區中山北路七段,1800,45.68萬/坪,公寓,39.41,1房2廳1衛,32.5年,https://www.rakuya.com.tw/sell_item/info?ehid=010bfc132758570&from=list_regular
53,圓山凡登亮麗邊間,圓山凡登士林區劍潭路,1680,,電梯大廈,17.34,1房1廳1衛,11.8年,https://www.rakuya.com.tw/sell_item/info?ehid=06ef5099234207&from=list_regular
54,劍潭三房裝潢電梯,士林區通河街,1999,,電梯大廈,27.92,3房2廳2衛,36.8年,https://www.rakuya.com.tw/sell_item/info?ehid=089be7130637457&from=list_regular
55,羅馬儷園超美景觀,羅馬儷園(59弄)士林區中山北路七段,1820,,公寓,33.05,3房2廳1衛,35.9年,https://www.rakuya.com.tw/sell_item/info?ehid=09b33e9571233a&from=list_regular
56,旺來＃大陽台美寓,士林區德行東路,1868,,公寓,34.08,3房2廳1衛,48年,https://www.rakuya.com.tw/sell_item/info?ehid=0b9bbe128323604&from=list_regular
57,{自售}德行東路綠景2樓,士林區德行東路,1880,59.83萬/坪,公寓,31.42,3房2廳2衛,38年,https://www.rakuya.com.tw/sell_item/info?ehid=06ec74134612741&from=list_prior
58,前港公園2樓,士林區華齡街,1758,47.27萬/坪,公寓,37.19,3房2廳2衛,36.5年,https://www.rakuya.com.tw/sell_item/info?ehid=0d557998794266&from=list_regular
59,圓山凡登,圓山凡登士林區劍潭路,1658,,電梯大廈,15.7,1房1廳1衛,11.8年,https://www.rakuya.com.tw/sell_item/info?ehid=022876134911782&from=list_regular
60,芝山採光美寓,士林區至誠路二段,1888,,公寓,34.82,3房2廳2衛,40.3年,https://www.rakuya.com.tw/sell_item/info?ehid=0d6b79132036592&from=list_regular
61,大故宮特區透天,士林區力行街,1650,69.8萬/坪,透天厝,23.64,4房2廳2衛,60.4年,https://www.rakuya.com.tw/sell_item/info?ehid=0f4a1513133867c&from=list_regular
62,故宮Y28站投資透天,士林區力行街,1650,,透天厝,23.64,8房2廳3衛,60.4年,https://www.rakuya.com.tw/sell_item/info?ehid=00c552120750015&from=list_regular
63,七段公寓3房,士林區中山北路七段,1680,,公寓,29.65,3房2廳2衛,42.3年,https://www.rakuya.com.tw/sell_item/info?ehid=0f0020134911773&from=list_regular
64,正面校園面寬美屋,士林區忠義街,1920,,公寓,33.34,3房2廳2衛,37.5年,https://www.rakuya.com.tw/sell_item/info?ehid=0c68a4127563109&from=list_regular
65,劍潭創築,士林區承德路四段,1688,,電梯大廈,28.9,1廳1衛,10.8年,https://www.rakuya.com.tw/sell_item/info?ehid=00fb2e126181322&from=list_regular
66,至善清幽綠意宅,士林區至善路三段,1550,,公寓,36.97,3房2廳2衛,37.9年,https://www.rakuya.com.tw/sell_item/info?ehid=02fd009622213c&from=list_regular
67,河濱公園美寓,士林區至誠路一段,1980,,公寓,42.54,3房2廳2衛,41.3年,https://www.rakuya.com.tw/sell_item/info?ehid=0deef8133946886&from=list_regular
68,*新光三越一樓,士林區天母東路,1980,57.18萬/坪,公寓,34.63,3房2廳2衛,41.4年,https://www.rakuya.com.tw/sell_item/info?ehid=0d71a2130821722&from=list_regular
69,羅馬儷園好住宅,羅馬儷園(63弄)士林區中山北路七段,1680,,公寓,38.04,3房2廳2衛,36年,https://www.rakuya.com.tw/sell_item/info?ehid=042e7b10222340d&from=list_regular
70,芝山捷運大3房,士林區文林路,1600,41.37萬/坪,電梯大廈,38.68,3房2廳2衛,39.7年,https://www.rakuya.com.tw/sell_item/info?ehid=050a62125569504&from=list_regular
71,蘭雅公園美屋,士林區德行東路,1880,,公寓,34.29,3房2廳2衛,41.2年,https://www.rakuya.com.tw/sell_item/info?ehid=05064e12118730d&from=list_regular
72,志成公園綠景小品,士林區志成街,1738,,電梯大廈,15.74,1房1廳1衛,26.1年,https://www.rakuya.com.tw/sell_item/info?ehid=01181180485583&from=list_regular
73,士東市場美寓,士林區士東路,1950,,公寓,33.17,3房2廳2衛,42.8年,https://www.rakuya.com.tw/sell_item/info?ehid=029f59133378316&from=list_regular
74,大興景觀美妝電梯,大興華廈士林區重慶北路四段,2000,,電梯大廈,46.57,3房2廳2衛,41.7年,https://www.rakuya.com.tw/sell_item/info?ehid=0bbd50132312635&from=list_regular
75,包租公寓大未來,士林區承德路四段,1650,,公寓,26.39,3房1廳4衛,39.1年,https://www.rakuya.com.tw/sell_item/info?ehid=04efd2128655461&from=list_regular
76,芝山國小套房,士林區德行東路,1980,,公寓,39.11,4房4衛,37.4年,https://www.rakuya.com.tw/sell_item/info?ehid=0b782a127795029&from=list_regular
77,士林方正珠寶盒,士林區文昌路,1680,,公寓,27.3,3房2廳1衛,45.5年,https://www.rakuya.com.tw/sell_item/info?ehid=0a188e128074538&from=list_regular
78,擁抱芬多精美寓,士林區中山北路七段,1800,,公寓,39.41,1房2廳1衛,32.5年,https://www.rakuya.com.tw/sell_item/info?ehid=0e7c68104849036&from=list_regular
79,『天母商圈』寧靜裝潢旺宅,士林區中山北路七段,1958,65.07萬/坪,公寓,30.09,2房2廳1衛,31.5年,https://www.rakuya.com.tw/sell_item/info?ehid=0cdbea132385311&from=list_regular
80,士科京璽全新裝潢,士科京璽士林區重慶北路四段,2000,,電梯大廈,31.81,1房1廳1衛,3.5年,https://www.rakuya.com.tw/sell_item/info?ehid=0c2727132029735&from=list_regular
81,忠義邊間美寓,士林區忠義街,1880,,公寓,30.86,3房2廳1衛,41.3年,https://www.rakuya.com.tw/sell_item/info?ehid=04e6ac9835339e&from=list_regular
82,士東國小芳鄰好屋,士林區中山北路六段,1788,,公寓,30.58,3房2廳2衛,40.2年,https://www.rakuya.com.tw/sell_item/info?ehid=060ebd133021917&from=list_regular
83,芝山捷運三房電梯,士林區文林路,1580,40.85萬/坪,電梯大廈,38.68,3房2廳2衛,39.7年,https://www.rakuya.com.tw/sell_item/info?ehid=0127ef12611466b&from=list_regular
84,志成公園小品綠景,士林區志成街,1738,,電梯大廈,15.81,1房1廳1衛,26.1年,https://www.rakuya.com.tw/sell_item/info?ehid=00a6758048559b&from=list_regular
85,J68 士林大南路公寓2F,士林區大南路,1680,51.14萬/坪,公寓,32.85,49.5年,2樓~2樓/3樓,https://www.rakuya.com.tw/sell_item/info?ehid=00189c126913426&from=list_regular
86,芝山電梯2+1房,鑽石士林區福國路,1688,,電梯大廈,21.55,3房1廳1衛,43.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0c08bb132687313&from=list_regular
87,士林捷運低總公寓,士林區福德路,1880,,公寓,21.76,3房3衛,55.3年,https://www.rakuya.com.tw/sell_item/info?ehid=00751813471154b&from=list_regular
88,天西邊間電梯3房,國際大樓士林區天母西路,1980,,電梯大廈,34.98,3房2廳1衛,42.7年,https://www.rakuya.com.tw/sell_item/info?ehid=00fe5913412479b&from=list_regular
89,近磺溪河畔美寓,士林區天母北路,1980,,公寓,43.31,4房3廳3衛,42.9年,https://www.rakuya.com.tw/sell_item/info?ehid=0774e8133422851&from=list_regular
90,天西巷內明亮公寓,士林區天母西路,1990,,公寓,31.98,3房2廳2衛,42年,https://www.rakuya.com.tw/sell_item/info?ehid=03f4bb13202903d&from=list_regular
91,公園景觀精緻美居,羅馬儷園(59弄)士林區中山北路七段,1680,,公寓,29.53,3房2廳2衛,35.9年,https://www.rakuya.com.tw/sell_item/info?ehid=0afa43131452249&from=list_regular
92,天母奢華時尚小豪宅,士林區天母北路,1880,,電梯大廈,19.14,1房1廳1衛,4.4年,https://www.rakuya.com.tw/sell_item/info?ehid=06c2f8130105679&from=list_regular
93,天母國中景觀美屋,士林區中山北路七段,1680,,公寓,30.87,3房2廳2衛,41.2年,https://www.rakuya.com.tw/sell_item/info?ehid=09d36d12610449c&from=list_regular
94,圓山凡登看藝術中心,圓山凡登士林區劍潭路,1658,105.61萬/坪,電梯大廈,15.7,1房1廳1衛,11.8年,https://www.rakuya.com.tw/sell_item/info?ehid=06f68b133591786&from=list_regular
95,德東樓中樓美寓,士林區德行東路,1988,47.39萬/坪,公寓,41.95,3房2廳2衛,37.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0d83ad130519550&from=list_regular
96,T08美校低總價成家頂加,士林區中山北路六段,1780,,公寓,30.33,3房2廳1衛,43.7年,https://www.rakuya.com.tw/sell_item/info?ehid=00f098129207192&from=list_regular
97,士林捷運一樓,士林區中正路,1750,117.8萬/坪,公寓,14.86,2房1廳1衛,57.1年,https://www.rakuya.com.tw/sell_item/info?ehid=0ed0c513222705f&from=list_regular
98,通河街保值大四房,士林區通河街,1880,,公寓,42.67,4房2廳2衛,46年,https://www.rakuya.com.tw/sell_item/info?ehid=06de95131006808&from=list_regular
99,天母陽明超美宅,士林區芝玉路一段,1888,,公寓,32.48,2房2廳1衛,34.7年,https://www.rakuya.com.tw/sell_item/info?ehid=07e80a134119090&from=list_regular
100,劍潭捷運稀有二樓,士林區承德路四段,1768,,公寓,29.43,4房2廳1衛,50.4年,https://www.rakuya.com.tw/sell_item/info?ehid=08b00613362843a&from=list_regular
101,六段首購頂加,士林區中山北路六段,1790,61.94萬/坪,公寓,28.9,2房2廳2衛,34.6年,https://www.rakuya.com.tw/sell_item/info?ehid=0a1ed013300204c&from=list_regular
102,森林秘境電梯2樓,士林官隱士林區福林路,1688,,電梯大廈,25.46,1房1廳1衛,5.4年,https://www.rakuya.com.tw/sell_item/info?ehid=06183d131285745&from=list_regular
103,劍潭方正大邊間,士林區通河東街一段,1688,,公寓,25.95,3房2廳1衛,44.1年,https://www.rakuya.com.tw/sell_item/info?ehid=048cd096562665&from=list_regular
104,羅馬假期設計師之構想,士林區中山北路,1600,,公寓,31.81,2房2廳2衛,35.9年,https://www.rakuya.com.tw/sell_item/info?ehid=0db076134865256&from=list_regular
105,芝山捷運3房首購宅,士林區福華路,1798,,公寓,24,4房2廳1衛,48.3年,https://www.rakuya.com.tw/sell_item/info?ehid=09f52b131466996&from=list_regular
106,富春居庭院貴族居,富春居士林區中山北路七段,1980,,電梯大廈,28.33,1房2廳1.5衛,31.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0ca40c12822699e&from=list_regular
107,高樓美景ＡＲＴ,士林區承德路四段,1738,,電梯大廈,16.2,1房1廳1衛,12樓/15樓,https://www.rakuya.com.tw/sell_item/info?ehid=0f081011506785b&from=list_regular
108,低總價好停車一樓,士林區德行東路,1688,,公寓,27.16,3房2廳2衛,38.3年,https://www.rakuya.com.tw/sell_item/info?ehid=0ef378128277422&from=list_regular
109,天母國小小資住辦,庭園華廈士林區天母西路,1790,,電梯大廈,26.23,1房3廳1衛,40.7年,https://www.rakuya.com.tw/sell_item/info?ehid=0d724712825481d&from=list_regular
110,陽明山Ａ棟景觀,白雲山莊士林區仰德大道三段,1788,,公寓,57.34,3房2廳1.5衛,42年,https://www.rakuya.com.tw/sell_item/info?ehid=02aca294877575&from=list_regular
111,劍潭方正邊間好屋,士林區通河東街一段,1760,,公寓,32.44,3房2廳1衛,39.8年,https://www.rakuya.com.tw/sell_item/info?ehid=0551918953945e&from=list_regular
112,芝玉美妝溫馨宅,士林區芝玉路一段,1880,,公寓,32.48,2房2廳1衛,34.7年,https://www.rakuya.com.tw/sell_item/info?ehid=0234fe13409173f&from=list_regular
113,士林收租美屋,士林區大南路,1785,,公寓,27.62,4房4衛,46年,https://www.rakuya.com.tw/sell_item/info?ehid=078119133021896&from=list_regular
114,士林住辦面寬１樓,大興華廈士林區重慶北路四段,1680,,電梯大廈,25.37,2房1廳,41.7年,https://www.rakuya.com.tw/sell_item/info?ehid=021aed132688439&from=list_regular
115,士東國小鼎家大空間,士林區士東路,1700,53.61萬/坪,公寓,31.71,5房2廳3衛,42.4年,https://www.rakuya.com.tw/sell_item/info?ehid=0c946613288360d&from=list_regular
116,11980-士林創築雅屋,士林區承德路四段,1688,,電梯大廈,28.91,1房1廳1衛,10.9年,https://www.rakuya.com.tw/sell_item/info?ehid=05ad7894159577&from=list_regular
117,通河街大4房,士林區通河街,1918,44.95萬/坪,公寓,42.67,4房2廳2衛,46年,https://www.rakuya.com.tw/sell_item/info?ehid=0e325013434116d&from=list_regular
118,天母SOGO邊間美寓,士林區中山北路六段,1760,48.9萬/坪,公寓,35.99,3房2廳2衛,36.5年,https://www.rakuya.com.tw/sell_item/info?ehid=04a253112706859&from=list_regular
119,士東市場美寓,士林區德行東路,1880,,公寓,34.29,3房2廳2衛,41.2年,https://www.rakuya.com.tw/sell_item/info?ehid=08e72012036409b&from=list_regular
120,士科京璽誠意２房,士科京璽士林區重慶北路四段,1685,,電梯大廈,30.92,2房2廳1衛,3.5年,https://www.rakuya.com.tw/sell_item/info?ehid=0354f5113033208&from=list_regular
121,葫蘆方正面寬好屋,士林區葫蘆街,1980,,公寓,32.15,4房2廳,42.8年,https://www.rakuya.com.tw/sell_item/info?ehid=07320d118667236&from=list_regular
122, 士東市場3房3樓美寓~住商廖小姐,士林區士東路,1790,54.74萬/坪,公寓,32.7,3房2廳2衛,42.1年,https://www.rakuya.com.tw/sell_item/info?ehid=046ea5134236025&from=list_regular
123,福氣滿堂大空間,士林區福港街,1880,,公寓,36.81,3房2廳2衛,43.8年,https://www.rakuya.com.tw/sell_item/info?ehid=09db2c131370535&from=list_regular
124,美校明亮成家首選,士林區中山北路六段,1780,,公寓,30.33,2房2廳1衛,43.7年,https://www.rakuya.com.tw/sell_item/info?ehid=047a359536167f&from=list_regular
125,近劍潭捷運美居,士林區承德路四段,1880,,公寓,32.26,3房2廳2衛,39.5年,https://www.rakuya.com.tw/sell_item/info?ehid=0fdb96134201264&from=list_regular
126,百齡大樓電梯三房,百齡大樓士林區中正路,1500,,電梯大廈,29.47,3房2廳1衛,40.8年,https://www.rakuya.com.tw/sell_item/info?ehid=01d6b210492480d&from=list_regular
127,士林夜市二樓住辦,士林區大東路,1890,79.81萬/坪,公寓,23.68,2房2廳2衛,42.3年,https://www.rakuya.com.tw/sell_item/info?ehid=049533133034277&from=list_regular
128,天母商圈3樓美寓,士林區中山北路七段,1780,,公寓,37.29,3房2廳2衛,40.3年,https://www.rakuya.com.tw/sell_item/info?ehid=0d747112893161c&from=list_regular
129,官邸美一樓,士林區福林路,1698,,電梯大廈,28.3,2房1廳2衛,37.6年,https://www.rakuya.com.tw/sell_item/info?ehid=044bac12284085f&from=list_regular
130,我家樓下就是公園,士林區劍潭路,1899,,公寓,32.13,3房2廳2衛,35.2年,https://www.rakuya.com.tw/sell_item/info?ehid=02614e113794687&from=list_regular
131,士林捷運大2樓,士林區大東路,1790,,公寓,23.69,1房2廳1衛,42.3年,https://www.rakuya.com.tw/sell_item/info?ehid=052e0813185105b&from=list_regular
132,HI漂亮電梯,士林區通河街,1628,,電梯大廈,28.01,2房2廳1衛,36.8年,https://www.rakuya.com.tw/sell_item/info?ehid=076b35129424820&from=list_regular
133,圓山窗外挑高美居,士林區基河路,1750,,電梯大廈,13.47,1房1廳1衛,15.9年,https://www.rakuya.com.tw/sell_item/info?ehid=0d937f13383905f&from=list_regular
134,超值高投報公寓,士林區大東路,1900,,公寓,35.92,5房5衛,43.8年,https://www.rakuya.com.tw/sell_item/info?ehid=02f3697537987e&from=list_regular
135,天母磺溪5＋6,士林區天母北路,1980,45.71萬/坪,公寓,43.32,4房3廳3衛,42.9年,https://www.rakuya.com.tw/sell_item/info?ehid=0116be133055441&from=list_regular
136,士林站透天2樓,士林區中正路,2000,,透天厝,16.84,1衛,56.9年,https://www.rakuya.com.tw/sell_item/info?ehid=04d01a102853294&from=list_regular
137,士林2樓3樓頂家收租金雞母0919930901 林R,士林區承德路四段,1680,63.49萬/坪,公寓,26.46,6房6衛,51.6年,https://www.rakuya.com.tw/sell_item/info?ehid=018b7e99627118&from=list_regular
138,獨立出入公園名廈,士林區福林路,1698,,電梯大廈,28.3,2房2廳2衛,37.6年,https://www.rakuya.com.tw/sell_item/info?ehid=01e43d124123342&from=list_regular
139,福港街學區3樓,士林區福港街,1680,48.33萬/坪,公寓,34.76,3房2廳2衛,39.1年,https://www.rakuya.com.tw/sell_item/info?ehid=009ffc116712239&from=list_regular
140,士東國小優質美寓,士林區中山北路六段,1980,48.49萬/坪,公寓,40.84,4房2廳2衛,37.5年,https://www.rakuya.com.tw/sell_item/info?ehid=0e8ec213473375a&from=list_regular
141,延北樂活舒適美宅,士林區延平北路五段,1888,,電梯大廈,28.83,1房2廳1衛,4.8年,https://www.rakuya.com.tw/sell_item/info?ehid=0cbcc3133423256&from=list_regular
142,T23公園綠景兩房車位美廈,士林區士東路,1680,,電梯大廈,27.38,2房2廳1衛,26.1年,https://www.rakuya.com.tw/sell_item/info?ehid=03245c129207267&from=list_regular
143,雨聲國小優質美寓,士林區至誠路一段,1980,,公寓,42.53,3房2廳2衛,41.3年,https://www.rakuya.com.tw/sell_item/info?ehid=0c8b1f132803754&from=list_regular
144,天母羅馬四房,士林區中山北路七段,1680,,公寓,38.04,3房2廳2衛,36年,https://www.rakuya.com.tw/sell_item/info?ehid=01335a101929906&from=list_regular
145,歐洲鑽石電梯2房,士林區福國路,1788,82.98萬/坪,電梯大廈,21.55,2房2廳1衛,43.2年,https://www.rakuya.com.tw/sell_item/info?ehid=035e999505105f&from=list_regular
146,士林長提電梯三房,士林區承德路五段,1888,,電梯大廈,47.09,3房2廳2衛,41.4年,https://www.rakuya.com.tw/sell_item/info?ehid=0eaee2133482441&from=list_regular
147,劍潭捷運美宅,士林區基河路,1680,90.86萬/坪,電梯大廈,18.49,1房1廳1衛,21.9年,https://www.rakuya.com.tw/sell_item/info?ehid=0c3f8111956006d&from=list_regular
148,前港公園邊間２樓,士林區華齡街,1758,,公寓,37.19,3房2廳2衛,36.5年,https://www.rakuya.com.tw/sell_item/info?ehid=043f409520149d&from=list_regular
149,T05天和公園低樓層美寓,士林區天母東路,1850,,公寓,32,4房2廳2衛,40.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0ee57012920718b&from=list_regular
150,美校旁採光屋,士林區中山北路六段,1780,,公寓,32.71,1房1廳1衛,34.6年,https://www.rakuya.com.tw/sell_item/info?ehid=0b6288109497396&from=list_regular
